state,R0,total_vaccines_per_day,death_rate0,death_rate1,death_rate2,death_rate3,death_rate4,death_rate5,population0,population1,population2,population3,population4,population5,initialS0,initialS1,initialS2,initialS3,initialS4,initialS5,initialE0,initialE1,initialE2,initialE3,initialE4,initialE5,initialI0,initialI1,initialI2,initialI3,initialI4,initialI5,initialR0,initialR1,initialR2,initialR3,initialR4,initialR5
IN,1.02992127,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,414553,882859,464953,1767691,1685770,1516393,384995.455,819911.331,431801.945,1641654.99,1565574.94,1408274.48,784.980765,1671.74603,880.416163,3347.22806,3192.10577,2871.38035,1046.64102,2228.99471,1173.88822,4462.97075,4256.14103,3828.50713,27725.9235,59046.9279,31096.7508,118225.813,112746.814,101418.628
IA,0.93766592,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,190606,409568,214686,822088,756345,761777,174220.971,374360.38,196230.986,751418.997,691327.451,696292.501,234.987776,504.934122,264.674699,1013.5076,932.456634,939.153451,313.317034,673.245496,352.899598,1351.34347,1243.27551,1252.2046,15836.7244,34029.4406,17837.4397,68304.1516,62841.8169,63293.141
KS,0.95023309,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,183236,400270,198860,786572,675579,668797,170152.944,371690.709,184661.39,730410.734,627342.637,621044.872,272.762283,595.835748,296.019929,1170.87895,1005.65648,995.560899,363.683045,794.447664,394.693238,1561.17193,1340.87531,1327.41453,12446.611,27189.0076,13507.8973,53429.2155,45889.8308,45429.1521
KY,1.0954404,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,273130,557013,295004,1148811,1136829,1056886,257811.566,525773.052,278458.767,1084380.2,1073070.2,997610.788,353.629501,721.181231,381.950417,1487.39963,1471.88618,1368.38161,471.506002,961.574974,509.267223,1983.19951,1962.51491,1824.50881,14493.2987,29557.1918,15654.0149,60960.2057,60324.396,56082.3216
LA,1.05733203,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,292977,615244,301712,1267830,1121519,1049512,274568.932,576587.541,282755.102,1188170.84,1051052.72,983570.003,374.594666,786.638953,385.763066,1621.02266,1433.95227,1341.88553,499.459554,1048.85194,514.350755,2161.36354,1911.93636,1789.18071,17534.014,36820.9686,18056.7841,75876.7718,67120.3878,62810.9309
ME,1.23321538,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,62813,137744,78209,316119,354752,394575,61883.9041,135706.565,77052.1748,311443.139,349504.7,388738.66,43.7779217,96.001561,54.5082623,220.321157,247.246673,275.001568,58.3705623,128.002081,72.6776831,293.761543,329.662231,366.668757,826.947452,1813.43113,1029.6393,4161.77864,4670.39088,5194.66974
MD,1.03312226,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,358346,750142,381318,1607958,1580741,1367175,343175.414,718384.721,365174.894,1539885.06,1513820.29,1309295.62,288.956205,604.885182,307.479928,1296.59447,1274.64774,1102.43647,385.27494,806.513577,409.973237,1728.79263,1699.53033,1469.91529,14496.3549,30345.8798,15425.653,65047.5513,63946.528,55307.0329
MA,1.09122839,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,355066,751128,451393,1916210,1788384,1630322,337839.226,714685.445,429492.719,1823241.04,1701616.79,1551223.5,560.135275,1184.9439,712.09618,3022.92198,2821.26975,2571.91864,746.847034,1579.92519,949.461574,4030.56264,3761.693,3429.22485,15919.7918,33677.6863,20238.7234,85915.4755,80184.25,73097.3587
MI,0.92836358,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,567914,1196324,653218,2595825,2509403,2464173,539304.312,1136057.03,620310.97,2465055.65,2382987.32,2340035.86,434.904109,916.135582,500.229246,1987.86252,1921.68123,1887.04445,579.872145,1221.51411,666.972328,2650.48337,2562.24164,2516.05927,27594.9114,58129.3203,31739.8283,126131,121931.76,119734.037
MN,0.95842331,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,349621,734067,363358,1496297,1404345,1291944,324636.603,681609.563,337391.938,1389369.56,1303988.58,1199619.91,349.51097,733.835981,363.243647,1495.8261,1403.90304,1291.53741,466.014627,978.447974,484.324863,1994.4348,1871.87072,1722.04988,24168.8718,50745.1532,25118.4938,103437.18,97080.6509,89310.5074
